epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.43688,1.34869,3.01449,1.28805,0.00583,0.875,0.10836,0.08304,1.09307,2.88228,1.25377,2e-05,2e-05,2e-05
2,2.13797,1.43788,2.93022,1.414,0.00583,0.875,0.09584,0.0748,1.07841,2.88627,1.24475,5.9901e-05,5.9901e-05,5.9901e-05
3,2.82916,1.41266,2.98072,1.38348,0.00583,0.875,0.19587,0.13728,0.95643,2.88982,1.14534,9.967e-05,9.967e-05,9.967e-05
4,3.60335,1.17248,2.83159,1.27051,0.00583,0.875,0.62453,0.46301,0.91973,2.84469,1.12195,0.000139307,0.000139307,0.000139307
5,4.32949,1.22351,2.7183,1.24906,0.00583,0.875,0.68252,0.49454,0.97833,2.82023,1.14619,0.000178812,0.000178812,0.000178812
6,5.08115,1.20366,2.44587,1.22274,0.00625,0.9375,0.75805,0.49599,0.98999,2.80861,1.16593,0.000218185,0.000218185,0.000218185
7,5.81663,1.16328,2.23903,1.09611,0.00625,0.9375,0.81812,0.52761,0.98303,2.72906,1.12394,0.000257426,0.000257426,0.000257426
8,6.56719,1.18632,2.00668,1.20187,0.00667,1,0.89345,0.63152,0.97423,2.7085,1.05873,0.000296535,0.000296535,0.000296535
9,7.31139,1.20603,1.82772,1.2243,0.00667,1,0.89398,0.60875,0.99058,2.68816,1.04479,0.000335512,0.000335512,0.000335512
10,8.05888,1.13803,1.71201,1.09761,0.00667,1,0.90743,0.62937,0.95268,2.62686,1.04551,0.000374357,0.000374357,0.000374357
11,8.77114,1.13386,1.64287,1.16118,0.00667,1,0.89357,0.62717,0.93119,2.57962,1.04321,0.00041307,0.00041307,0.00041307
12,9.48099,1.11796,1.51374,1.10698,0.00667,1,0.8923,0.63896,0.92483,2.55252,1.01267,0.000451651,0.000451651,0.000451651
13,10.2161,1.11189,1.42386,1.12065,0.01769,0.9375,0.88216,0.64271,0.92098,2.47186,1.03569,0.0004901,0.0004901,0.0004901
14,10.933,1.1137,1.41131,1.1864,0.84726,0.75,0.84263,0.5948,0.99898,2.36263,1.11905,0.000528417,0.000528417,0.000528417
15,11.6611,1.12078,1.40187,1.20919,1,0.70441,0.86257,0.60199,1.0243,2.37338,1.08889,0.000566602,0.000566602,0.000566602
16,12.3813,1.14107,1.33428,1.12995,0.92166,0.73617,0.86639,0.62922,0.97949,2.4147,1.02166,0.000604655,0.000604655,0.000604655
17,13.0849,1.08859,1.17675,1.12735,0.99256,0.5625,0.84762,0.64729,0.9698,2.3972,1.03217,0.000642576,0.000642576,0.000642576
18,13.8333,1.19839,1.37779,1.2501,1,0.64544,0.84636,0.61959,1.05723,2.30944,1.07991,0.000680365,0.000680365,0.000680365
19,14.5549,0.99867,1.22154,1.10894,1,0.60825,0.77186,0.55772,1.05292,2.25953,1.11478,0.000718022,0.000718022,0.000718022
20,15.2671,0.99392,1.19012,1.09712,0.9823,0.5625,0.73912,0.56672,1.02677,2.22277,1.09888,0.000755547,0.000755547,0.000755547
21,15.9723,1.05583,1.22356,1.14245,0.89269,0.5625,0.72608,0.53965,1.04517,2.21428,1.11835,0.00079294,0.00079294,0.00079294
22,16.7129,1.16577,1.33871,1.18167,1,0.61432,0.82567,0.57938,1.047,2.23234,1.11125,0.000830201,0.000830201,0.000830201
23,17.4078,1.22143,1.29409,1.21123,1,0.66192,0.80735,0.61901,1.03738,2.25,1.12738,0.00086733,0.00086733,0.00086733
24,18.1205,1.25184,1.2286,1.16194,0.90356,0.587,0.79437,0.58664,1.04374,2.25238,1.1601,0.000904327,0.000904327,0.000904327
25,18.8181,1.23072,1.28466,1.18655,1,0.5762,0.80718,0.53899,1.16302,2.29735,1.2958,0.000941192,0.000941192,0.000941192
26,19.5369,1.1597,1.25186,1.22785,0.86683,0.5,0.75173,0.53746,1.09397,2.1424,1.25159,0.000977925,0.000977925,0.000977925
27,20.2402,1.0855,1.19268,1.1242,0.83669,0.5625,0.77891,0.58182,1.09316,1.95373,1.20585,0.00101453,0.00101453,0.00101453
